traj_idx,method,ADE,RMSE,smooth,noisy_ADE,uncond_ADE,delta_ADE_vs_noisy,delta_ADE_vs_uncond,improved_vs_noisy,improved_vs_uncond
165,noisy_input,0.06595510989427567,0.07198909670114517,0.3393206298351288,0.06595510989427567,0.06470518559217453,0.0,0.0012499243021011353,0,0
166,noisy_input,0.07392732799053192,0.07966499030590057,0.19033850729465485,0.07392732799053192,0.07050678879022598,0.0,0.0034205392003059387,0,0
167,noisy_input,0.062389664351940155,0.06881745159626007,0.36570456624031067,0.062389664351940155,0.05872470140457153,0.0,0.003664962947368622,0,0
168,noisy_input,0.0670127123594284,0.06993038207292557,0.23195475339889526,0.0670127123594284,0.06333290040493011,0.0,0.003679811954498291,0,0
169,noisy_input,0.0525335893034935,0.060238223522901535,0.14226745069026947,0.0525335893034935,0.05150154232978821,0.0,0.0010320469737052917,0,0
170,noisy_input,0.07352592051029205,0.07853599637746811,0.18820954859256744,0.07352592051029205,0.06644164025783539,0.0,0.007084280252456665,0,0
171,noisy_input,0.06817080080509186,0.07312192022800446,0.28808867931365967,0.06817080080509186,0.05761592462658882,0.0,0.010554876178503036,0,0
172,noisy_input,0.06448812782764435,0.07626660913228989,0.46265363693237305,0.06448812782764435,0.0654531717300415,0.0,-0.0009650439023971558,0,1
173,noisy_input,0.05530258268117905,0.06165451183915138,0.1512354016304016,0.05530258268117905,0.05465635657310486,0.0,0.0006462261080741882,0,0
174,noisy_input,0.0680345892906189,0.0744103267788887,0.18603399395942688,0.0680345892906189,0.06301553547382355,0.0,0.005019053816795349,0,0
175,noisy_input,0.06515919417142868,0.07146646827459335,0.1660345196723938,0.06515919417142868,0.06814289093017578,0.0,-0.002983696758747101,0,1
176,noisy_input,0.06126191094517708,0.06611419469118118,0.15007564425468445,0.06126191094517708,0.05899126082658768,0.0,0.0022706501185894012,0,0
177,noisy_input,0.06333308666944504,0.070398710668087,0.2138184905052185,0.06333308666944504,0.06726086139678955,0.0,-0.003927774727344513,0,1
178,noisy_input,0.06996317207813263,0.07744736969470978,0.161967933177948,0.06996317207813263,0.07316802442073822,0.0,-0.003204852342605591,0,1
179,noisy_input,0.05731259658932686,0.0641988217830658,0.15365171432495117,0.05731259658932686,0.05721816420555115,0.0,9.443238377571106e-05,0,0
180,noisy_input,0.07600606232881546,0.08060850948095322,0.4445343017578125,0.07600606232881546,0.07601062953472137,0.0,-4.567205905914307e-06,0,1
181,noisy_input,0.06523136049509048,0.07312249392271042,0.1865866482257843,0.06523136049509048,0.06522451341152191,0.0,6.847083568572998e-06,0,0
182,noisy_input,0.05938028544187546,0.06872458010911942,0.16368362307548523,0.05938028544187546,0.0647834911942482,0.0,-0.005403205752372742,0,1
183,noisy_input,0.07407162338495255,0.08220779895782471,0.20291300117969513,0.07407162338495255,0.08026652038097382,0.0,-0.006194896996021271,0,1
