method,degradation,metric,mean,std,min,max,median,p25,p75,n_trajectories,n_seeds,n_total
ddpm_v1_masked_replace,missing_noise_drift,ADE,0.063654825091362,0.014738685451447964,0.0294331107288599,0.128858745098114,0.062009669840335846,0.053092263638973236,0.07245870679616928,1024,1,1024
ddpm_v1_masked_replace,missing_noise_drift,RMSE,0.07641255855560303,0.0235750749707222,0.035958707332611084,0.19604891538619995,0.07192538678646088,0.059176526963710785,0.08772556483745575,1024,1,1024
ddpm_v1_masked_replace,missing_noise_drift,masked_ADE,0.12375137328490382,0.066755549483979,0.009412466548383236,0.4157291054725647,0.11287780851125717,0.07458065077662468,0.16119388490915298,1024,1,1024
ddpm_v1_masked_replace,missing_noise_drift,masked_RMSE,0.0882898569743702,0.047295391768685205,0.0076570576056838036,0.29512548446655273,0.08024345338344574,0.05353883281350136,0.11492343060672283,1024,1,1024
ddpm_v1_masked_replace,missing_noise_drift,wall_crossing_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024,1,1024
ddpm_v1_masked_replace,missing_noise_drift,off_map_ratio,0.00014648437500000002,0.002702362129301116,0.0,0.05,0.0,0.0,0.0,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_noise_drift,ADE,0.04779062420129776,0.00887023750692606,0.02942303940653801,0.0850607380270958,0.047090452164411545,0.04145105555653572,0.05295403674244881,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_noise_drift,RMSE,0.05298890173435211,0.009229829534888268,0.03154034912586212,0.10257622599601746,0.05213846638798714,0.04658668115735054,0.05828973278403282,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_noise_drift,masked_ADE,0.04443039960642636,0.021916998738621195,0.004939243197441101,0.19164463877677917,0.040758442133665085,0.028800652362406254,0.05734548904001713,1024,1,1024
ddpm_v2_blend_alpha0.1,missing_noise_drift,masked_RMSE,0.03227415365631714,0.015369035016862797,0.003731779521331191,0.1369083672761917,0.029565312899649143,0.021567235700786114,0.04099488537758589,1024,1,1024
