degradation,degradation_group,traj_idx,method,ADE,smooth,noisy_ADE,noisy_smooth,delta_ADE_vs_noisy,delta_smooth_vs_noisy,improved_ADE_vs_noisy,improved_smooth_vs_noisy
gaussian_medium,relative_observable,21,noisy_input,0.06869306415319443,0.17002573609352112,0.06869306415319443,0.17002573609352112,0.0,0.0,0,0
gaussian_medium,relative_observable,22,noisy_input,0.06361999362707138,0.1777394413948059,0.06361999362707138,0.1777394413948059,0.0,0.0,0,0
gaussian_medium,relative_observable,23,noisy_input,0.0694975033402443,0.43005678057670593,0.0694975033402443,0.43005678057670593,0.0,0.0,0,0
gaussian_medium,relative_observable,24,noisy_input,0.06091035529971123,0.16263523697853088,0.06091035529971123,0.16263523697853088,0.0,0.0,0,0
gaussian_medium,relative_observable,25,noisy_input,0.06001255661249161,0.18232184648513794,0.06001255661249161,0.18232184648513794,0.0,0.0,0,0
gaussian_medium,relative_observable,26,noisy_input,0.06416813284158707,0.16826771199703217,0.06416813284158707,0.16826771199703217,0.0,0.0,0,0
gaussian_medium,relative_observable,27,noisy_input,0.053119100630283356,0.17524825036525726,0.053119100630283356,0.17524825036525726,0.0,0.0,0,0
gaussian_medium,relative_observable,28,noisy_input,0.06145323067903519,0.31665515899658203,0.06145323067903519,0.31665515899658203,0.0,0.0,0,0
gaussian_medium,relative_observable,29,noisy_input,0.04525135084986687,0.17828969657421112,0.04525135084986687,0.17828969657421112,0.0,0.0,0,0
gaussian_medium,relative_observable,30,noisy_input,0.05629705265164375,0.15503937005996704,0.05629705265164375,0.15503937005996704,0.0,0.0,0,0
gaussian_medium,relative_observable,31,noisy_input,0.06441095471382141,0.17235404253005981,0.06441095471382141,0.17235404253005981,0.0,0.0,0,0
gaussian_medium,relative_observable,32,noisy_input,0.048632748425006866,0.1344148814678192,0.048632748425006866,0.1344148814678192,0.0,0.0,0,0
gaussian_medium,relative_observable,33,noisy_input,0.04978462681174278,0.3969765901565552,0.04978462681174278,0.3969765901565552,0.0,0.0,0,0
gaussian_medium,relative_observable,34,noisy_input,0.06210090592503548,0.16616785526275635,0.06210090592503548,0.16616785526275635,0.0,0.0,0,0
gaussian_medium,relative_observable,35,noisy_input,0.06946993619203568,0.22422467172145844,0.06946993619203568,0.22422467172145844,0.0,0.0,0,0
gaussian_medium,relative_observable,36,noisy_input,0.0519719198346138,0.12539997696876526,0.0519719198346138,0.12539997696876526,0.0,0.0,0,0
gaussian_medium,relative_observable,37,noisy_input,0.054066289216279984,0.12783241271972656,0.054066289216279984,0.12783241271972656,0.0,0.0,0,0
gaussian_medium,relative_observable,38,noisy_input,0.05767141655087471,0.1928032487630844,0.05767141655087471,0.1928032487630844,0.0,0.0,0,0
gaussian_medium,relative_observable,39,noisy_input,0.058270812034606934,0.14028388261795044,0.058270812034606934,0.14028388261795044,0.0,0.0,0,0
gaussian_medium,relative_observable,40,noisy_input,0.06381482630968094,0.15788374841213226,0.06381482630968094,0.15788374841213226,0.0,0.0,0,0
gaussian_medium,relative_observable,41,noisy_input,0.04674428701400757,0.2257722020149231,0.04674428701400757,0.2257722020149231,0.0,0.0,0,0
gaussian_medium,relative_observable,42,noisy_input,0.06890759617090225,0.20640581846237183,0.06890759617090225,0.20640581846237183,0.0,0.0,0,0
gaussian_medium,relative_observable,43,noisy_input,0.05525180697441101,0.5142030119895935,0.05525180697441101,0.5142030119895935,0.0,0.0,0,0
gaussian_medium,relative_observable,44,noisy_input,0.058719534426927567,0.1930064558982849,0.058719534426927567,0.1930064558982849,0.0,0.0,0,0
gaussian_medium,relative_observable,45,noisy_input,0.05506425350904465,0.1535624861717224,0.05506425350904465,0.1535624861717224,0.0,0.0,0,0
gaussian_medium,relative_observable,46,noisy_input,0.06088675186038017,0.21503746509552002,0.06088675186038017,0.21503746509552002,0.0,0.0,0,0
gaussian_medium,relative_observable,47,noisy_input,0.05681475251913071,0.14031903445720673,0.05681475251913071,0.14031903445720673,0.0,0.0,0,0
gaussian_medium,relative_observable,48,noisy_input,0.06416036933660507,0.33097895979881287,0.06416036933660507,0.33097895979881287,0.0,0.0,0,0
gaussian_medium,relative_observable,49,noisy_input,0.050704699009656906,0.43534010648727417,0.050704699009656906,0.43534010648727417,0.0,0.0,0,0
gaussian_medium,relative_observable,50,noisy_input,0.06765604764223099,0.15266388654708862,0.06765604764223099,0.15266388654708862,0.0,0.0,0,0
gaussian_medium,relative_observable,51,noisy_input,0.05603696033358574,0.15089493989944458,0.05603696033358574,0.15089493989944458,0.0,0.0,0,0
gaussian_medium,relative_observable,52,noisy_input,0.04654904827475548,0.2181859165430069,0.04654904827475548,0.2181859165430069,0.0,0.0,0,0
gaussian_medium,relative_observable,53,noisy_input,0.05436959117650986,0.15194040536880493,0.05436959117650986,0.15194040536880493,0.0,0.0,0,0
gaussian_medium,relative_observable,54,noisy_input,0.05588964745402336,0.1693001240491867,0.05588964745402336,0.1693001240491867,0.0,0.0,0,0
gaussian_medium,relative_observable,55,noisy_input,0.0649377852678299,0.221160426735878,0.0649377852678299,0.221160426735878,0.0,0.0,0,0
gaussian_medium,relative_observable,56,noisy_input,0.0474541038274765,0.1410312056541443,0.0474541038274765,0.1410312056541443,0.0,0.0,0,0
gaussian_medium,relative_observable,57,noisy_input,0.05567995831370354,0.17635172605514526,0.05567995831370354,0.17635172605514526,0.0,0.0,0,0
gaussian_medium,relative_observable,58,noisy_input,0.06290137022733688,0.12769155204296112,0.06290137022733688,0.12769155204296112,0.0,0.0,0,0
gaussian_medium,relative_observable,59,noisy_input,0.06501203775405884,0.1676061749458313,0.06501203775405884,0.1676061749458313,0.0,0.0,0,0
gaussian_medium,relative_observable,60,noisy_input,0.07986714690923691,0.3615890145301819,0.07986714690923691,0.3615890145301819,0.0,0.0,0,0
gaussian_medium,relative_observable,61,noisy_input,0.06355413794517517,0.18731608986854553,0.06355413794517517,0.18731608986854553,0.0,0.0,0,0
gaussian_medium,relative_observable,62,noisy_input,0.060209810733795166,0.14791762828826904,0.060209810733795166,0.14791762828826904,0.0,0.0,0,0
