degradation,zeta,seed,trajectory_id,finite,first_nonfinite_step,first_nonfinite_stage,max_grad_norm,max_update_to_x_ratio,update_to_x_ratio_t99,update_to_x_ratio_t80,update_to_x_ratio_t60,update_to_x_ratio_t40,update_to_x_ratio_t20,update_to_x_ratio_t0
drift_medium,0.3,42,8,True,,none,26.622516632080078,2.1453569983602825,0.07763275326646785,0.05761421854368792,0.22530094835250064,0.4453444874027213,1.0272697671643574,1.5556514054498594
drift_medium,0.3,42,9,True,,none,27.872821807861328,2.172601533918242,0.11480397180471437,0.056507581077242915,0.07689835818405424,0.20200620883936643,1.1960441107698176,1.5447560059038745
drift_medium,0.3,42,10,True,,none,28.92268180847168,2.216503207641231,0.11733916156885724,0.1235479632531756,0.12069186450890429,0.26135380048851864,1.5103373011757852,2.1636528567545192
drift_medium,0.3,42,11,True,,none,27.40154457092285,2.1392638169035614,0.12316448625124025,0.1373695691344889,0.14016057781365399,0.3355510495670286,0.9742902980633654,2.0192094477035787
drift_medium,0.3,42,12,True,,none,29.35959243774414,2.109631399830601,0.11474087768160252,0.09881852166469193,0.0280316482396231,0.2696656850367089,1.245924847939496,1.6819912765547376
drift_medium,0.3,42,13,True,,none,27.916189193725586,1.774767944683586,0.08400689331663051,0.01536882433060698,0.05741540811507366,0.10726055413486989,0.9113144805959067,1.513266647412396
drift_medium,0.3,42,14,True,,none,26.586990356445312,2.2211929363362164,0.16577727256566835,0.02593277692969805,0.13422389443822164,0.43322093216683577,0.9086189579711987,1.9594780157019691
drift_medium,0.3,42,15,True,,none,27.81233787536621,2.0607643173216275,0.12395768240776417,0.11193526839460104,0.11496596744027872,0.5209934246800277,1.1730698900673056,1.9163321830377626
drift_medium,0.3,42,16,True,,none,26.351591110229492,2.541013906437197,0.19042754846492863,0.039359249711965826,0.06508446028240794,0.12699430686432392,0.9106078297821352,1.9167129303238077
drift_medium,0.3,42,17,True,,none,27.274885177612305,1.862879003659249,0.15091424249941374,0.053037829442769704,0.052896994193591305,0.46139308747046126,1.08696167555446,1.8238002766963273
drift_medium,0.3,42,18,True,,none,27.058835983276367,2.3256859212161953,0.07261715773201759,0.06911775971958621,0.04028063240818474,0.1575384066323466,0.9766271291212378,2.2848560049115973
