geometry_profile,source_family,experiment_id,degradation,coarse_method,method_name,refiner_name,alpha,output_path,evaluated_windows,off_map_ratio,boundary_violation_count,infeasible_transition_count,window_violation_count,window_violation_rate,infeasible_transition_rate,mean_infeasible_transitions_per_window,masked_infeasible_transition_count,masked_segment_count,masked_infeasible_transition_rate,total_points,total_segments,internal_wall_crossing_count,door_valid_crossing_count,door_crossing_valid_ratio
two_room_v1,phase1_baseline,span20_random_seed42,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed42/linear_interp/results.npz,27544,0.0,0,25,25,0.0009076386871914028,4.777045722060015e-05,0.0009076386871914028,25,137720,0.00018152773743828056,550880,523336,2491,2466,0.9899638699317543
two_room_v1,phase1_baseline,span20_random_seed42,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed42/savgol_w5_p2/results.npz,27544,0.0,0,50,45,0.0016337496369445252,9.55409144412003e-05,0.0018152773743828057,24,137720,0.00017426662794074935,550880,523336,2506,2456,0.9800478850758181
two_room_v1,phase1_baseline,span20_random_seed43,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed43/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,27544,9.257914609352308e-05,51,412,270,0.009802497821667151,0.0007872571349954905,0.014957885564914319,334,137720,0.0024252105721754283,550880,523336,2772,2438,0.8795093795093795
two_room_v1,phase1_baseline,span20_random_seed43,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed43/linear_interp/results.npz,27544,0.0,0,20,20,0.0007261109497531223,3.821636577648012e-05,0.0007261109497531223,20,137720,0.00014522218995062446,550880,523336,2491,2471,0.9919710959454034
two_room_v1,phase1_baseline,span20_random_seed43,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed43/savgol_w5_p2/results.npz,27544,0.0,0,42,38,0.0013796108045309324,8.025436813060825e-05,0.0015248329944815568,20,137720,0.00014522218995062446,550880,523336,2500,2458,0.9832
two_room_v1,phase1_baseline,span20_random_seed44,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed44/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,27544,5.808887598024978e-05,32,392,264,0.009584664536741214,0.0007490407692190104,0.014231774615161197,311,137720,0.00225820505373221,550880,523336,2774,2430,0.8759913482335977
two_room_v1,phase1_baseline,span20_random_seed44,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed44/linear_interp/results.npz,27544,0.0,0,20,20,0.0007261109497531223,3.821636577648012e-05,0.0007261109497531223,20,137720,0.00014522218995062446,550880,523336,2491,2471,0.9919710959454034
two_room_v1,phase1_baseline,span20_random_seed44,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed44/savgol_w5_p2/results.npz,27544,0.0,0,43,39,0.0014159163520185885,8.216518641943226e-05,0.0015611385419692129,21,137720,0.00015248329944815567,550880,523336,2502,2459,0.9828137490007993
two_room_v1,phase1_baseline,span20_random_seed5,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed5/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,27544,4.719721173395295e-05,26,352,244,0.008858553586988092,0.0006726080376660501,0.012779552715654952,268,137720,0.0019459773453383677,550880,523336,2767,2455,0.8872425009035056
two_room_v1,phase1_baseline,span20_random_seed5,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed5/linear_interp/results.npz,27544,0.0,0,23,23,0.0008350275922160906,4.394882064295214e-05,0.0008350275922160906,23,137720,0.00016700551844321812,550880,523336,2491,2468,0.990766760337214
two_room_v1,phase1_baseline,span20_random_seed5,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed5/savgol_w5_p2/results.npz,27544,0.0,0,44,39,0.0014159163520185885,8.407600470825626e-05,0.001597444089456869,22,137720,0.0001597444089456869,550880,523336,2502,2458,0.982414068745004
two_room_v1,phase1_baseline,span20_random_seed6,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed6/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,27544,6.17194307290154e-05,34,365,248,0.009003775776938717,0.0006974486754207622,0.013251524832994481,283,137720,0.002054893987801336,550880,523336,2743,2429,0.8855267954794022
two_room_v1,phase1_baseline,span20_random_seed6,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed6/linear_interp/results.npz,27544,0.0,0,20,20,0.0007261109497531223,3.821636577648012e-05,0.0007261109497531223,20,137720,0.00014522218995062446,550880,523336,2491,2471,0.9919710959454034
two_room_v1,phase1_baseline,span20_random_seed6,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed6/savgol_w5_p2/results.npz,27544,0.0,0,40,36,0.00130699970955562,7.643273155296023e-05,0.0014522218995062445,18,137720,0.000130699970955562,550880,523336,2500,2460,0.984
two_room_v1,phase1_baseline,span20_random_seed7,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed7/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,27544,8.350275922160906e-05,46,371,246,0.008931164681963404,0.0007089135851537062,0.013469358117920419,288,137720,0.002091199535288992,550880,523336,2737,2437,0.8903909389842893
two_room_v1,phase1_baseline,span20_random_seed7,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed7/linear_interp/results.npz,27544,0.0,0,26,26,0.000943944234679059,4.9681275509424154e-05,0.000943944234679059,26,137720,0.0001887888469358118,550880,523336,2491,2465,0.9895624247290244
two_room_v1,phase1_baseline,span20_random_seed7,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed7/savgol_w5_p2/results.npz,27544,0.0,0,49,45,0.0016337496369445252,9.36300961523763e-05,0.0017789718268951496,28,137720,0.00020331106593087425,550880,523336,2501,2452,0.9804078368652539
two_room_v1,phase1_baseline,span20_random_seed8,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed8/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,27544,6.17194307290154e-05,34,380,253,0.009185303514376996,0.0007261109497531223,0.013796108045309324,290,137720,0.0021057217542840546,550880,523336,2764,2434,0.8806078147612156
two_room_v1,phase1_baseline,span20_random_seed8,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed8/linear_interp/results.npz,27544,0.0,0,35,35,0.001270694162067964,6.68786401088402e-05,0.001270694162067964,35,137720,0.0002541388324135928,550880,523336,2491,2456,0.985949417904456
two_room_v1,phase1_baseline,span20_random_seed8,,,savgol_w5_p2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed8/savgol_w5_p2/results.npz,27544,0.0,0,59,54,0.0019604995643334303,0.00011273827904061635,0.002142027301771711,35,137720,0.0002541388324135928,550880,523336,2501,2442,0.9764094362255098
two_room_v1,phase1_baseline,span20_random_seed9,,,kalman_cv_dt1.0_q1e-3_r1e-2,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed9/kalman_cv_dt1.0_q1e-3_r1e-2/results.npz,27544,4.901248910833575e-05,27,360,243,0.008822248039500435,0.0006878945839766422,0.013069997095556202,274,137720,0.001989544002323555,550880,523336,2764,2443,0.8838639652677279
two_room_v1,phase1_baseline,span20_random_seed9,,,linear_interp,,,outputs/stage3/phase1/canonical_room3/baselines/span20_random_seed9/linear_interp/results.npz,27544,0.0,0,23,23,0.0008350275922160906,4.394882064295214e-05,0.0008350275922160906,23,137720,0.00016700551844321812,550880,523336,2491,2468,0.990766760337214
