condition,method,t_start,tau_high,gamma,bin,N_frames,ADE_mean,ADE_std,ADE_median,ADE_min,ADE_max,ADE_p25,ADE_p75
gaussian_medium,fused_tau09_gamma2,2,0.9,2,mid,2177,0.045826930552721024,0.0135951591655612,0.0460149422287941,0.015935692936182022,0.08700422942638397,0.03471885621547699,0.056534480303525925
gaussian_medium,fused_tau09_gamma2,2,0.9,2,low,1489,0.09350555390119553,0.021357981488108635,0.0886869952082634,0.05154544860124588,0.18476271629333496,0.07782025635242462,0.1046609953045845
drift_medium,fused_tau05_gamma1,1,0.5,1,high,581,0.00240786443464458,0.0020331835839897394,0.0027626536320894957,0.0,0.005584052763879299,0.0,0.0043183923698961735
drift_medium,fused_tau05_gamma1,1,0.5,1,mid,1815,0.012236312963068485,0.004584701731801033,0.010900991968810558,0.003587550250813365,0.031093673780560493,0.008633392862975597,0.015321463346481323
drift_medium,fused_tau05_gamma1,1,0.5,1,low,1604,0.029394039884209633,0.010138512589037418,0.027433842420578003,0.007192640565335751,0.06865714490413666,0.0221011433750391,0.03448554873466492
drift_medium,fused_tau05_gamma2,1,0.5,2,high,581,0.00240786443464458,0.0020331835839897394,0.0027626536320894957,0.0,0.005584052763879299,0.0,0.0043183923698961735
drift_medium,fused_tau05_gamma2,1,0.5,2,mid,1815,0.012148845940828323,0.004068737383931875,0.011533545330166817,0.005616143811494112,0.02561875246465206,0.008866444230079651,0.015181653201580048
drift_medium,fused_tau05_gamma2,1,0.5,2,low,1604,0.02930567041039467,0.009763205423951149,0.027042411267757416,0.010789173655211926,0.06832844018936157,0.022157933562994003,0.03394846245646477
drift_medium,fused_tau07_gamma1,1,0.7,1,high,581,0.00240786443464458,0.0020331835839897394,0.0027626536320894957,0.0,0.005584052763879299,0.0,0.0043183923698961735
drift_medium,fused_tau07_gamma1,1,0.7,1,mid,1815,0.0122584393247962,0.004738917108625174,0.011671873740851879,0.0021381229162216187,0.031093673780560493,0.0085427425801754,0.015361759811639786
drift_medium,fused_tau07_gamma1,1,0.7,1,low,1604,0.029394039884209633,0.010138512589037418,0.027433842420578003,0.007192640565335751,0.06865714490413666,0.0221011433750391,0.03448554873466492
drift_medium,fused_tau07_gamma2,1,0.7,2,high,581,0.00240786443464458,0.0020331835839897394,0.0027626536320894957,0.0,0.005584052763879299,0.0,0.0043183923698961735
drift_medium,fused_tau07_gamma2,1,0.7,2,mid,1815,0.01213656272739172,0.004118337295949459,0.01163970585912466,0.005096002947539091,0.02561875246465206,0.008724788203835487,0.015204017981886864
drift_medium,fused_tau07_gamma2,1,0.7,2,low,1604,0.02930567041039467,0.009763205423951149,0.027042411267757416,0.010789173655211926,0.06832844018936157,0.022157933562994003,0.03394846245646477
drift_medium,fused_tau09_gamma1,1,0.9,1,high,581,0.0024757294449955225,0.002183958888053894,0.002679610624909401,0.0,0.008843226358294487,0.0,0.004300246015191078
drift_medium,fused_tau09_gamma1,1,0.9,1,mid,1815,0.0122584393247962,0.004738917108625174,0.011671873740851879,0.0021381229162216187,0.031093673780560493,0.0085427425801754,0.015361759811639786
drift_medium,fused_tau09_gamma1,1,0.9,1,low,1604,0.029394039884209633,0.010138512589037418,0.027433842420578003,0.007192640565335751,0.06865714490413666,0.0221011433750391,0.03448554873466492
drift_medium,fused_tau09_gamma2,1,0.9,2,high,581,0.002408713800832629,0.0020387079566717148,0.0027574882842600346,0.0,0.006173707544803619,0.0,0.004332848824560642
drift_medium,fused_tau09_gamma2,1,0.9,2,mid,1815,0.01213656272739172,0.004118337295949459,0.01163970585912466,0.005096002947539091,0.02561875246465206,0.008724788203835487,0.015204017981886864
